index,date,value
0,2024-01-27 08:36:13 UTC,40
1,2024-01-27 08:36:42 UTC,39
2,2024-01-27 08:37:11 UTC,39
3,2024-01-27 08:37:40 UTC,37
4,2024-01-27 08:38:08 UTC,38
5,2024-01-27 08:38:39 UTC,36
6,2024-01-27 08:39:08 UTC,43
7,2024-01-27 08:39:36 UTC,41
8,2024-01-27 08:40:05 UTC,43
9,2024-01-27 08:40:34 UTC,39
10,2024-01-27 08:41:05 UTC,39
11,2024-01-27 08:41:33 UTC,39
12,2024-01-27 08:42:03 UTC,38
13,2024-01-27 08:42:34 UTC,40
14,2024-01-27 08:43:02 UTC,37
15,2024-01-27 08:43:31 UTC,41
16,2024-01-27 08:44:00 UTC,37
17,2024-01-27 08:44:29 UTC,41
18,2024-01-27 08:44:58 UTC,38
19,2024-01-27 08:45:27 UTC,38
20,2024-01-27 08:45:56 UTC,38
21,2024-01-27 08:46:24 UTC,38
22,2024-01-27 08:46:56 UTC,38
23,2024-01-27 08:47:27 UTC,37
24,2024-01-27 08:47:55 UTC,38
25,2024-01-27 08:48:26 UTC,39
26,2024-01-27 08:48:54 UTC,38
27,2024-01-27 08:49:22 UTC,39
28,2024-01-27 08:49:50 UTC,38
29,2024-01-27 08:50:19 UTC,40
30,2024-01-27 08:50:48 UTC,38
31,2024-01-27 08:51:17 UTC,38
32,2024-01-27 08:51:49 UTC,39
33,2024-01-27 08:52:19 UTC,39
34,2024-01-27 08:52:48 UTC,40
35,2024-01-27 08:53:17 UTC,33
36,2024-01-27 08:53:45 UTC,38
37,2024-01-27 08:54:13 UTC,36
38,2024-01-27 08:54:42 UTC,38
39,2024-01-27 08:55:10 UTC,36
40,2024-01-27 08:55:39 UTC,38
41,2024-01-27 08:56:07 UTC,39
42,2024-01-27 08:56:36 UTC,37
43,2024-01-27 08:57:06 UTC,39
44,2024-01-27 08:57:35 UTC,40
45,2024-01-27 08:58:06 UTC,36
46,2024-01-27 08:58:35 UTC,38
47,2024-01-27 08:59:03 UTC,37
48,2024-01-27 08:59:32 UTC,39
49,2024-01-27 09:00:00 UTC,38
50,2024-01-27 09:00:32 UTC,35
51,2024-01-27 09:01:03 UTC,36
52,2024-01-27 09:01:35 UTC,38
53,2024-01-27 09:02:05 UTC,38
54,2024-01-27 09:02:33 UTC,38
55,2024-01-27 09:03:02 UTC,38
56,2024-01-27 09:03:32 UTC,38
57,2024-01-27 09:04:03 UTC,38
58,2024-01-27 09:04:32 UTC,34
